TYPE,LATITUDE,LONGITUDE
INJURY,52.12186,-106.60422
INJURY,52.19392,-106.67497
INJURY,52.12925,-106.69408
INJURY,52.09088,-106.52972
INJURY,52.12928,-106.70581
INJURY,52.151,-106.5989
INJURY,52.19272,-106.62279
INJURY,52.08934,-106.62267
INJURY,52.1537,-106.63475
INJURY,52.12358,-106.58638
INJURY,52.2021,-106.67128
INJURY,52.13582,-106.55276
INJURY,52.16772,-106.67284
INJURY,52.1672,-106.61236
INJURY,52.102,-106.58979
INJURY,52.14045,-106.67505
INJURY,52.16144,-106.6742
INJURY,52.10176,-106.60347
INJURY,52.14386,-106.67024
INJURY,52.16683,-106.57586
INJURY,52.08556,-106.62264
INJURY,52.13717,-106.70046
INJURY,52.11337,-106.59641
INJURY,52.12152,-106.63107
INJURY,52.12476,-106.54259
INJURY,52.08554,-106.67038
INJURY,52.11408,-106.60698
INJURY,52.12926,-106.67506
INJURY,52.13289,-106.63468
INJURY,52.10473,-106.60448
INJURY,52.12939,-106.57592
INJURY,52.11478,-106.61088
INJURY,52.13128,-106.6589
INJURY,52.10506,-106.60964
INJURY,52.12657,-106.66115
INJURY,52.11473,-106.57506
INJURY,52.151,-106.5989
INJURY,52.14379,-106.58214
INJURY,52.13483,-106.62273
INJURY,52.128,-106.69976
INJURY,52.09506,-106.62215
INJURY,52.1147,-106.58698
INJURY,52.14496,-106.62261
INJURY,52.12813,-106.6604
INJURY,52.13298,-106.65877
INJURY,52.13523,-106.6735
INJURY,52.11558,-106.63353
INJURY,52.12781,-106.58768
INJURY,52.09033,-106.64659
INJURY,52.12927,-106.67022
INJURY,52.12617,-106.68134
INJURY,52.18787,-106.66867
INJURY,52.12931,-106.76363
INJURY,52.13419,-106.65296
INJURY,52.12978,-106.7084
INJURY,52.12893,-106.62835
INJURY,52.19396,-106.68545
INJURY,52.13239,-106.66727
INJURY,52.12738,-106.64648
INJURY,52.14401,-106.5275
INJURY,52.10044,-106.66653
INJURY,52.13085,-106.67025
INJURY,52.1147,-106.58698
INJURY,52.17298,-106.66485
INJURY,52.12893,-106.62835
INJURY,52.12875,-106.66382
INJURY,52.17309,-106.63268
INJURY,52.13312,-106.72786
INJURY,52.13238,-106.67028
INJURY,52.12926,-106.67821
INJURY,52.12946,-106.72825
INJURY,52.12946,-106.72825
INJURY,52.1198,-106.64648
INJURY,52.13223,-106.6947
INJURY,52.12191,-106.71817
INJURY,52.15959,-106.67317
INJURY,52.15327,-106.64815
INJURY,52.10272,-106.62269
INJURY,52.10757,-106.67002
INJURY,52.11337,-106.59641
INJURY,52.15314,-106.66335
INJURY,52.1003,-106.67041
INJURY,52.13289,-106.63468
INJURY,52.16144,-106.6742
INJURY,52.13335,-106.70581
INJURY,52.13263,-106.6568
INJURY,52.15834,-106.66336
INJURY,52.15802,-106.65125
INJURY,52.14623,-106.57507
INJURY,52.12907,-106.66552
INJURY,52.11411,-106.63292
INJURY,52.11541,-106.64988
INJURY,52.12616,-106.70093
INJURY,52.14385,-106.65519
INJURY,52.13289,-106.63468
INJURY,52.14071,-106.59892
INJURY,52.16387,-106.67425
INJURY,52.15096,-106.59274
INJURY,52.20204,-106.64653
INJURY,52.15735,-106.71677
INJURY,52.17144,-106.55775
INJURY,52.17309,-106.63268
INJURY,52.12926,-106.67022
INJURY,52.13312,-106.72786
INJURY,52.16426,-106.56492
INJURY,52.13097,-106.65478
INJURY,52.12613,-106.5854
INJURY,52.14386,-106.72592
INJURY,52.11468,-106.70934
INJURY,52.12931,-106.7103
INJURY,52.15787,-106.67071
INJURY,52.11478,-106.62608
INJURY,52.20095,-106.70266
INJURY,52.15865,-106.65734
INJURY,52.15542,-106.56581
INJURY,52.13084,-106.68128
INJURY,52.13694,-106.74946
INJURY,52.13144,-106.66922
INJURY,52.13348,-106.66155
INJURY,52.14312,-106.55482
INJURY,52.15866,-106.65641
INJURY,52.13348,-106.66155
INJURY,52.14053,-106.55958
INJURY,52.11779,-106.65676
INJURY,52.12926,-106.68128
INJURY,52.12666,-106.72822
INJURY,52.15022,-106.61318
INJURY,52.13721,-106.75597
INJURY,52.1047299,-106.6044846
INJURY,52.1073276,-106.6353024
INJURY,52.1638691,-106.67425
INJURY,52.12915,-106.78922
INJURY,52.13011,-106.67547
INJURY,52.1302997,-106.6534715
INJURY,52.14401,-106.5275
INJURY,52.1767492,-106.6080406
INJURY,52.1152948,-106.6005408
INJURY,52.18411,-106.64575
